Year,Anomaly
200202,0.7
200203,0.86
200204,0.56
200205,0.66
200206,0.54
200207,0.59
200208,0.53
200209,0.66
200210,0.56
200211,0.62
200212,0.5
200301,0.71
200302,0.57
200303,0.61
200304,0.61
200305,0.64
200306,0.52
200307,0.6
200308,0.6
200309,0.66
200310,0.77
200311,0.55
200312,0.75
200401,0.58
200402,0.67
200403,0.66
200404,0.66
200405,0.43
200406,0.48
200407,0.32
200408,0.44
200409,0.52
200410,0.61
200411,0.72
200412,0.49
200501,0.75
200502,0.62
200503,0.77
200504,0.7
200505,0.7
200506,0.67
200507,0.66
200508,0.59
200509,0.73
200510,0.75
200511,0.78
200512,0.74
200601,0.63
200602,0.81
200603,0.67
200604,0.53
200605,0.52
200606,0.66
200607,0.55
200608,0.72
200609,0.69
200610,0.68
200611,0.72
200612,0.78
200701,0.94
200702,0.73
200703,0.69
200704,0.81
200705,0.66
200706,0.58
200707,0.59
200708,0.58
200709,0.61
200710,0.61
200711,0.58
200712,0.52
200801,0.29
200802,0.35
200803,0.74
200804,0.52
200805,0.52
200806,0.51
200807,0.57
200808,0.48
200809,0.63
200810,0.7
200811,0.71
200812,0.57
200901,0.67
200902,0.52
200903,0.54
200904,0.59
200905,0.62
200906,0.64
200907,0.72
200908,0.71
200909,0.74
200910,0.69
200911,0.81
200912,0.7
201001,0.75
201002,0.83
201003,0.9
201004,0.89
201005,0.79
201006,0.71
201007,0.66
201008,0.67
201009,0.62
201010,0.68
201011,0.79
201012,0.52
201101,0.56
201102,0.51
201103,0.68
201104,0.65
201105,0.56
201106,0.63
201107,0.72
201108,0.7
201109,0.61
201110,0.71
201111,0.6
201112,0.61
201201,0.48
201202,0.54
201203,0.55
201204,0.75
201205,0.75
201206,0.67
201207,0.64
201208,0.65
201209,0.75
201210,0.79
201211,0.8
201212,0.56
201301,0.7
201302,0.62
201303,0.68
201304,0.58
201305,0.67
201306,0.68
201307,0.61
201308,0.7
201309,0.77
201310,0.68
201311,0.81
201312,0.72
201401,0.75
201402,0.57
201403,0.82
201404,0.85
201405,0.87
201406,0.73
201407,0.62
201408,0.83
201409,0.87
201410,0.82
201411,0.69
201412,0.79
201501,0.82
201502,0.89
201503,0.97
201504,0.81
201505,0.82
201506,0.88
201507,0.77
201508,0.83
201509,0.91
201510,1.11
201511,1.06
201512,1.14
201601,1.23
201602,1.34
201603,1.35
201604,1.15
201605,1
201606,0.84
201607,0.86
201608,0.96
201609,0.92
201610,0.89
201611,0.95
201612,0.9
201701,1.06
201702,1.12
201703,1.18
201704,0.98
201705,0.91
201706,0.77
201707,0.83
201708,0.89
201709,0.84
201710,0.92
201711,0.92
201712,0.99
201801,0.83
201802,0.89
201803,0.93
201804,0.9
201805,0.82
201806,0.76
201807,0.8
201808,0.75
201809,0.81
201810,1.06
201811,0.84
201812,0.93
201901,0.92
201902,0.92
201903,1.16
201904,1.03
201905,0.9
201906,0.91
201907,0.91
201908,0.91
201909,0.97
201910,1.01
201911,0.99
201912,1.1
202001,1.14
202002,1.2
202003,1.16
202004,1.14
202005,1
202006,0.93
202007,0.91
202008,0.9
202009,0.98
202010,0.91
202011,1.06
202012,0.84
202101,0.84
202102,0.66
202103,0.89
202104,0.8
202105,0.81
202106,0.86
202107,0.92
202108,0.84
202109,0.92
202110,1
202111,0.95
202112,0.87
202201,0.93
202202,0.92
202203,1.11
202204,0.9
202205,0.86
202206,0.9
202207,0.89
202208,0.93
